PBS NewsHour,@NewsHour,https://twitter.com/NewsHour,http://www.pbs.org/newshour/
ABC News,@ABC,https://twitter.com/ABC,http://abcnews.go.com/
BBC Breaking News,@BBCBreaking,https://twitter.com/BBCBreaking,http://www.bbc.com/news
BBC News (World),@BBCWorld,https://twitter.com/BBCWorld,https://twitter.com/BBCWorld
Bloomberg,@business,https://twitter.com/business,https://www.bloomberg.com/
Businessweek,@BW,https://twitter.com/BW,https://www.bloomberg.com/businessweek
Capital Journal,@WSJPolitics,https://twitter.com/WSJPolitics,http://wsj.com/capitaljournal
CBS News,@CBSNews,https://twitter.com/CBSNews,http://www.cbsnews.com/
CNN,@CNN,https://twitter.com/CNN,http://www.cnn.com/
CS Monitor,@csmonitor,https://twitter.com/csmonitor,http://www.csmonitor.com/
Financial Times,@FinancialTimes,https://twitter.com/FinancialTimes,https://www.ft.com/
Forbes,@Forbes,https://twitter.com/Forbes,https://www.forbes.com/home_usa/
Foreign Affairs,@ForeignAffairs,https://twitter.com/ForeignAffairs,https://www.foreignaffairs.com/
Fortune,@FortuneMagazine,https://twitter.com/FortuneMagazine,http://fortune.com/
Los Angeles Times,@latimes,https://twitter.com/latimes,http://www.latimes.com/
National Review,@NRO,https://twitter.com/NRO,http://www.nationalreview.com/
NBC News,@NBCNews,https://twitter.com/NBCNews,http://www.nbcnews.com/
New Republic,@NewRepublic,https://twitter.com/NewRepublic,https://newrepublic.com/
NPR,@NPR,https://twitter.com/NPR,http://www.npr.org/
NYT Politics,@nytpolitics,https://twitter.com/nytpolitics,http://nytimes.com/politics
POLITICO,@politico,https://twitter.com/politico,http://www.politico.com/
Post Politics,@postpolitics,https://twitter.com/postpolitics,http://washingtonpost.com/politics
Reuters Top News,@Reuters,https://twitter.com/Reuters,http://www.reuters.com/
The Associated Press,@AP,https://twitter.com/AP,https://www.ap.org/en-us/
The Atlantic,@TheAtlantic,https://twitter.com/TheAtlantic,https://www.theatlantic.com/
The Economist,@TheEconomist,https://twitter.com/TheEconomist,http://www.economist.com/
The Nation,@thenation,https://twitter.com/thenation,https://www.thenation.com/
The New York Times,@nytimes,https://twitter.com/nytimes,http://www.nytimes.com
The New Yorker,@NewYorker,https://twitter.com/NewYorker,http://www.newyorker.com/
The Weekly Standard,@weeklystandard,https://twitter.com/weeklystandard,http://www.weeklystandard.com/
TIME,@TIME,https://twitter.com/TIME,http://time.com/
USA TODAY,@USATODAY,https://twitter.com/USATODAY,http://www.usatoday.com/
Wall Street Journal,@WSJ,https://twitter.com/WSJ,https://www.wsj.com/
Washington Post,@washingtonpost,https://twitter.com/washingtonpost,https://www.washingtonpost.com/
FOX Business,@FoxBusiness,https://twitter.com/FoxBusiness,http://www.foxbusiness.com/
Fox News,@FoxNews,https://twitter.com/FoxNews,http://www.foxnews.com/
